x,y,z
-2.06822633743286,-3.84349489212036,13.6687831878662
-2.03231406211853,-3.8887939453125,13.6414060592651
-2.01514983177185,-3.92817687988281,13.6205654144287
-2.01129651069641,-3.97568202018738,13.5952301025391
-2.01317548751831,-4.00947761535645,13.5767345428467
-2.0188512802124,-4.02519655227661,13.5697145462036
-2.03675699234009,-4.05738353729248,13.5584325790405
-2.06291127204895,-4.09359169006348,13.5528717041016
-2.08998250961304,-4.11087512969971,13.555157661438
-2.11871790885925,-4.11561346054077,13.5601644515991
-2.14726281166077,-4.11701917648315,13.5703868865967
-2.18072462081909,-4.12328672409058,13.5845918655396
-2.20995783805847,-4.11711168289185,13.5979852676392
-2.23801422119141,-4.10875988006592,13.6012706756592
-2.26255893707275,-4.08655452728272,13.5996599197388
-2.2818124294281,-4.06527519226074,13.6108255386353
-2.29954385757446,-4.03613233566284,13.6248807907105
-2.3106906414032,-4.00514125823975,13.6383123397827
-2.3232045173645,-3.96617770195007,13.6506128311157
-2.33173775672913,-3.92607283592224,13.6520566940308
-2.33711266517639,-3.88182711601257,13.6536083221436
-2.3389618396759,-3.83413600921631,13.6553421020508
-2.33727860450745,-3.78837156295776,13.6504821777344
-2.33267545700073,-3.74090147018433,13.6481266021729
-2.3245313167572,-3.69977045059204,13.6418514251709
-2.31483483314514,-3.66370248794556,13.6363382339478
-2.30284595489502,-3.62861585617065,13.6339101791382
-2.29220628738403,-3.59914970397949,13.631688117981
-2.27975106239319,-3.57691645622253,13.6296424865723
-2.27005243301392,-3.5578556060791,13.6270723342896
-2.2617654800415,-3.53965401649475,13.6287622451782
-2.25463366508484,-3.52525091171265,13.6291999816895
-2.24799466133118,-3.51546216011047,13.632248878479
-2.2438747882843,-3.50986576080322,13.6360483169556
-2.24269700050354,-3.50644111633301,13.6439647674561
-2.24416828155518,-3.50414037704468,13.6514568328857
-2.24467921257019,-3.50491547584534,13.6537179946899
-2.24580812454224,-3.50874662399292,13.6507978439331
-2.24793362617493,-3.51339817047119,13.6460447311401
-2.25191569328308,-3.52071452140808,13.6466970443726
-2.25935506820679,-3.52632546424866,13.6466264724731
-2.26769948005676,-3.53192734718323,13.6436071395874
-2.27803587913513,-3.53861522674561,13.6402387619019
-2.28795433044434,-3.51422619819641,13.6990785598755
-2.29645276069641,-3.4066891670227,13.8789167404175
-2.29417300224304,-3.22655367851257,14.0756225585938
-2.28566288948059,-3.01725816726685,14.2244720458984
-2.26948404312134,-2.75802040100098,14.3618297576904
-2.2501060962677,-2.4865095615387,14.4696264266968
-2.22624516487122,-2.1819908618927,14.5628566741943
-2.19965267181396,-1.86623561382294,14.6816663742065
-2.16969418525696,-1.53729808330536,14.9244089126587
-2.14015769958496,-1.22778677940369,15.1978816986084
-2.10621452331543,-0.91781485080719,15.466685295105
-2.07413840293884,-0.603554368019104,15.775242805481
-2.05345416069031,-0.359076708555222,16.0584411621094
-2.02505493164062,-0.10660183429718,16.3703441619873
-2.0060772895813,0.093525968492031,16.6704616546631
-1.98083066940308,0.278309136629105,16.9912528991699
-1.9527143239975,0.427103251218796,17.2968482971191
-1.92064559459686,0.55235356092453,17.6378383636475
-1.89259791374207,0.635884523391724,17.9659214019775
