time,header,pose
2022/10/11 14:15:49.420198343,"{'stamp': {'secs': 1665490549, 'nsecs': 417077900}, 'frame_id': 'map'}","{'position': {'x': -0.014918588101863861, 'y': -0.006419617682695389, 'z': -0.07525509595870972}, 'orientation': {'x': 0.006558583707891146, 'y': -0.002637206019578521, 'z': 0.010391600528300515, 'w': -0.9999210418384681}}"
2022/10/11 14:15:49.454955024,"{'stamp': {'secs': 1665490549, 'nsecs': 453092486}, 'frame_id': 'map'}","{'position': {'x': -0.01485135406255722, 'y': -0.006016056519001722, 'z': -0.07616294175386429}, 'orientation': {'x': 0.006571150383464726, 'y': -0.002651351884882244, 'z': 0.010378745739504758, 'w': -0.9999210839853165}}"
2022/10/11 14:15:49.485470521,"{'stamp': {'secs': 1665490549, 'nsecs': 482625513}, 'frame_id': 'map'}","{'position': {'x': -0.01496448926627636, 'y': -0.005759640131145716, 'z': -0.07692433893680573}, 'orientation': {'x': 0.006612389099099112, 'y': -0.002667463834814549, 'z': 0.01041103022546408, 'w': -0.9999204096357404}}"
2022/10/11 14:15:49.541924922,"{'stamp': {'secs': 1665490549, 'nsecs': 513944665}, 'frame_id': 'map'}","{'position': {'x': -0.015215045772492886, 'y': -0.005546648520976305, 'z': -0.07787609845399857}, 'orientation': {'x': 0.006605256897441532, 'y': -0.002652495941328737, 'z': 0.01040483463873293, 'w': -0.999920536076286}}"
2022/10/11 14:15:49.552120300,"{'stamp': {'secs': 1665490549, 'nsecs': 544185630}, 'frame_id': 'map'}","{'position': {'x': -0.015599440783262253, 'y': -0.005372317042201757, 'z': -0.07882854342460632}, 'orientation': {'x': 0.00662232340763816, 'y': -0.0026268650598057952, 'z': 0.010412758246253095, 'w': -0.9999204517825889}}"
2022/10/11 14:15:49.590055195,"{'stamp': {'secs': 1665490549, 'nsecs': 583544364}, 'frame_id': 'map'}","{'position': {'x': -0.016106296330690384, 'y': -0.005223199725151062, 'z': -0.08004400134086609}, 'orientation': {'x': 0.006650131931212872, 'y': -0.002626866212258684, 'z': 0.01042464365753315, 'w': -0.9999201146078007}}"
2022/10/11 14:15:49.617433227,"{'stamp': {'secs': 1665490549, 'nsecs': 614587754}, 'frame_id': 'map'}","{'position': {'x': -0.01672208681702614, 'y': -0.005120079964399338, 'z': -0.08115356415510178}, 'orientation': {'x': 0.006646046979629855, 'y': -0.002616495453346973, 'z': 0.010412126043525372, 'w': -0.9999203253420433}}"
2022/10/11 14:15:49.648400645,"{'stamp': {'secs': 1665490549, 'nsecs': 645505958}, 'frame_id': 'map'}","{'position': {'x': -0.016323037445545197, 'y': -0.004887043032795191, 'z': -0.08201942592859268}, 'orientation': {'x': 0.006656775163573274, 'y': -0.0026183316400713555, 'z': 0.010412336777767983, 'w': -0.9999201989014979}}"
2022/10/11 14:15:49.681674617,"{'stamp': {'secs': 1665490549, 'nsecs': 679527649}, 'frame_id': 'map'}","{'position': {'x': -0.014738940633833408, 'y': -0.0044624535366892815, 'z': -0.0826042965054512}, 'orientation': {'x': 0.006674482108303914, 'y': -0.0026174952885462174, 'z': 0.010418405923953433, 'w': -0.9999200303141038}}"
2022/10/11 14:15:49.715687760,"{'stamp': {'secs': 1665490549, 'nsecs': 711600171}, 'frame_id': 'map'}","{'position': {'x': -0.013741384260356426, 'y': -0.004176477435976267, 'z': -0.08338426053524017}, 'orientation': {'x': 0.0066605771056539856, 'y': -0.0026597315344740703, 'z': 0.010401125716064108, 'w': -0.9999201989014979}}"
2022/10/11 14:15:49.744914250,"{'stamp': {'secs': 1665490549, 'nsecs': 742498245}, 'frame_id': 'map'}","{'position': {'x': -0.012977301143109798, 'y': -0.003935642074793577, 'z': -0.08428125828504562}, 'orientation': {'x': 0.006675768739636385, 'y': -0.0026818978133405142, 'z': 0.010403359499035092, 'w': -0.9999200724609523}}"
2022/10/11 14:15:49.787831423,"{'stamp': {'secs': 1665490549, 'nsecs': 783866077}, 'frame_id': 'map'}","{'position': {'x': -0.012422512285411358, 'y': -0.0037381427828222513, 'z': -0.08540534973144531}, 'orientation': {'x': 0.006677226427904806, 'y': -0.0027065790736829445, 'z': 0.010391136912966947, 'w': -0.9999200724609523}}"
2022/10/11 14:15:49.816192084,"{'stamp': {'secs': 1665490549, 'nsecs': 814480495}, 'frame_id': 'map'}","{'position': {'x': -0.012076119892299175, 'y': -0.0035564617719501257, 'z': -0.08661852031946182}, 'orientation': {'x': 0.006708133732661831, 'y': -0.0027292094617913905, 'z': 0.010403233058489558, 'w': -0.9999196931393157}}"
2022/10/11 14:15:49.848325154,"{'stamp': {'secs': 1665490549, 'nsecs': 844804876}, 'frame_id': 'map'}","{'position': {'x': -0.011920982971787453, 'y': -0.0033921124413609505, 'z': -0.08792554587125778}, 'orientation': {'x': 0.006693140649848589, 'y': -0.00272751502677235, 'z': 0.010392443465270795, 'w': -0.9999199460204067}}"
